Commit Hash,Author,Date,Commit Message
"4b275cd","Shirly Montes","2026-07-06 14:16:05","Feature/devops alert routing (#19)"
"1415f83","Shirly Montes","2026-07-06 14:00:24","Add Grafana monitoring dashboard (#17)"
"131a4a4","Jerico Crisostomo","2026-07-06 13:59:05","Fix/deploy workflow secrets condition (#16)"
"80defcc","Jerico Crisostomo","2026-07-06 13:57:01","feat: add metrics validation tests, alert procedures doc, and demo data generator (#15)"
"d9f9cb6","Jerico Crisostomo","2026-07-03 14:37:05","feat: add error distribution, resource usage, latency metrics, layered alerts, metric dictionary, and fix tests (#13)"
"ccde0a3","Shirly Montes","2026-07-03 14:31:21","Add Grafana monitoring config, fix backend healthcheck path and frontend API URL (#12)"
"d1384ad","ShakiraCasusi","2026-06-28 21:21:03","Merge branch 'main' of https://github.com/ShakiraCasusi/Brainbytes-AITutoring-Platform"
"1847130","ShakiraCasusi","2026-06-28 21:20:56","feat: implement Alertmanager configuration, alert receiver service, and comprehensive monitoring documentation"
"745df3b","ShakiraCasusi","2026-06-28 21:08:31","Merge branch 'main' of https://github.com/ShakiraCasusi/Brainbytes-AITutoring-Platform"
"ded140c","ShakiraCasusi","2026-06-28 21:08:27","feat: add GitHub Action workflow to automatically export and update cleaned commit history to CSV"
"c41d056","ShakiraCasusi","2026-06-28 20:37:37","Merge branch 'main' of https://github.com/ShakiraCasusi/Brainbytes-AITutoring-Platform"
"02f19ca","ShakiraCasusi","2026-06-28 20:37:33","feat: add GitHub Actions workflow to auto-generate and push commit history to CSV"
"2659bab","ShakiraCasusi","2026-06-28 20:28:16","feat: add GitHub Action to automatically log repository commits to a CSV file"
"63e4e09","ShakiraCasusi","2026-06-28 20:16:31","fix: track-commit.yml"
"b8eda11","ShakiraCasusi","2026-06-28 02:02:26","ci: remove push-to-repo step to comply with main branch protection rules"
"1bb83db","ShakiraCasusi","2026-06-28 02:00:39","feat: add automated GitHub Actions workflow to generate and commit contributor commit reports to CSV"
"d8aac1b","ShakiraCasusi","2026-06-28 01:59:12","feat: add workflow to generate and commit weekly contributor CSV report"
"774ed9a","ShakiraCasusi","2026-06-28 01:53:33","feat: add GitHub Actions workflow to generate and upload commit statistics CSV"
"d7cc8d2","ShakiraCasusi","2026-06-28 01:40:22","feat: implement Prometheus metrics middleware and add Dockerfile optimization and commit reporting workflow"
"f8328b5","ShakiraCasusi","2026-06-28 01:30:37","feat: add GitHub Actions workflow to generate and upload commit statistics CSV for fair distribution"
"cd55016","ShakiraCasusi","2026-06-28 01:00:01","feat: implement Prometheus monitoring stack and backend metrics tracking with simulation testing tools"
"bf2edc6","ShakiraCasusi","2026-06-28 00:42:11","docs: add deployment plan and refactor Mermaid diagrams in README for improved clarity"
"f93a35a","ShakiraCasusi","2026-06-28 00:38:53","ci: implement automated deployment and CI pipelines with linting, security scanning, and test suites."
"96040ff","Jerico Crisostomo","2026-06-28 00:29:34","Feat/prometheus metrics and ci fix (#11)"
"3477d0e","shirlymontes","2026-06-26 17:21:37","Integrate Prometheus monitoring stack with exporters and alerts (#9)"
"2035174","ShakiraCasusi","2026-06-26 16:39:44","feat: add aiService backend module and ProfilePage frontend component"
"8ec7551","ShakiraCasusi","2026-06-26 16:28:02","feat: implement multi-container architecture and initial frontend dashboard structure"
"49ec38f","ShakiraCasusi","2026-06-22 21:22:16","feat: initialize Express application with middleware, security, and core chat API routes"
"cbc51a3","ShakiraCasusi","2026-06-22 21:02:08","Updated README"
"73695ea","ShakiraCasusi","2026-06-22 20:44:07","feat: implement core AI tutoring service with Hugging Face integration and backend chat endpoints"
"64459c8","ShakiraCasusi","2026-06-22 20:24:57","Merge branch 'main' of https://github.com/ShakiraCasusi/Brainbytes-AITutoring-Platform"
"394dc08","ShakiraCasusi","2026-06-22 20:24:51","ci: add security workflow for dependency auditing and container scanning with Trivy"
"4b13600","shirlymontes","2026-06-22 19:34:56","AI tutor working with HuggingFace + chat improvements (#8)"
"06e76db","ShakiraCasusi","2026-06-15 15:02:01","feat: configure frontend containerization and add centralized API utility service"
"9388e17","ShakiraCasusi","2026-06-14 21:33:50","test: add unit tests for Chat component loading and error states"
"b77ad6b","ShakiraCasusi","2026-06-14 21:24:00","feat: create LearningWorkspace component with auth, profile management, and state syncing"
"7203cc4","ShakiraCasusi","2026-06-14 17:51:20","Updated README"
"7d52586","ShakiraCasusi","2026-06-13 22:05:36","Merge branch 'main' of https://github.com/ShakiraCasusi/Brainbytes-AITutoring-Platform"
"b43a30b","ShakiraCasusi","2026-06-13 22:05:32","updated README"
"8f994f7","ShakiraCasusi","2026-06-13 21:28:02","feat: implement Express application server with security middleware, health checks, and API routes"
